"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","57","600 Edgewood Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",862,626,1185
"186","20001, Northwest Washington, Washington","58","3100 13th Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",931,681,1271
"186","20001, Northwest Washington, Washington","59","2800 45th Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1234,925,1644
"186","20001, Northwest Washington, Washington","60","3200 Dubois Place Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",894,600,1330
"186","20001, Northwest Washington, Washington","61","1400 15th Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",398,249,635
"186","20001, Northwest Washington, Washington","62","1800 W Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1118,791,1579
"186","20001, Northwest Washington, Washington","63","4400 40th Street, Brentwood","1/1/2018 - 1/31/2018, Every day, Daily Average",1537,1180,2000
"186","20001, Northwest Washington, Washington","64","1800 Ontario Place Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1040,767,1408
"186","20001, Northwest Washington, Washington","65","1900 15th Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",607,420,877
"186","20001, Northwest Washington, Washington","66","1400 K Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",201,90,447
"186","20001, Northwest Washington, Washington","67","900 Q Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",431,275,674
"186","20001, Northwest Washington, Washington","68","8800 Springfield Road, Laurel","1/1/2018 - 1/31/2018, Every day, Daily Average",1644,1243,2173
"186","20001, Northwest Washington, Washington","69","12500 Farm Road, Greater Upper Marlboro, Upper Marlboro","1/1/2018 - 1/31/2018, Every day, Daily Average",1875,1432,2454
"186","20001, Northwest Washington, Washington","70","3600 Anton Terrace, District Heights","1/1/2018 - 1/31/2018, Every day, Daily Average",1680,1265,2230
"186","20001, Northwest Washington, Washington","71","5600 Somerset House II, Wisconsin Avenue, Chevy Chase","1/1/2018 - 1/31/2018, Every day, Daily Average",1731,1372,2183
"186","20001, Northwest Washington, Washington","72","4900 Hampden Lane, Bethesda","1/1/2018 - 1/31/2018, Every day, Daily Average",1934,1570,2381
"186","20001, Northwest Washington, Washington","73","3300 Chillum Road, Mount Rainier","1/1/2018 - 1/31/2018, Every day, Daily Average",1477,1150,1895
"186","20001, Northwest Washington, Washington","74","11100 Rodeo Court, Upper Marlboro","1/1/2018 - 1/31/2018, Every day, Daily Average",1861,1379,2510
"186","20001, Northwest Washington, Washington","75","4900 Blackfoot Road, Hollywood, College Park","1/1/2018 - 1/31/2018, Every day, Daily Average",2009,1538,2623
"186","20001, Northwest Washington, Washington","76","7300 16th Place, Hyattsville","1/1/2018 - 1/31/2018, Every day, Daily Average",1918,1518,2422
"186","20001, Northwest Washington, Washington","77","3200 Donnell Drive, Forestville","1/1/2018 - 1/31/2018, Every day, Daily Average",1582,1154,2167
"186","20001, Northwest Washington, Washington","78","5000 Roseld Court, Oxon Hill","1/1/2018 - 1/31/2018, Every day, Daily Average",1403,1010,1947
"186","20001, Northwest Washington, Washington","79","2200 Washington Avenue, Silver Spring","1/1/2018 - 1/31/2018, Every day, Daily Average",1978,1581,2473
"186","20001, Northwest Washington, Washington","80","3100 West Avenue, District Heights","1/1/2018 - 1/31/2018, Every day, Daily Average",1600,1181,2167
"186","20001, Northwest Washington, Washington","81","1600 Nova Avenue, Capitol Heights","1/1/2018 - 1/31/2018, Every day, Daily Average",1331,958,1849
"186","20001, Northwest Washington, Washington","82","2000 South Eads Street, Crystal City, Arlington","1/1/2018 - 1/31/2018, Every day, Daily Average",686,461,1020
"186","20001, Northwest Washington, Washington","83","500 Ethan Allen Avenue, Takoma Park","1/1/2018 - 1/31/2018, Every day, Daily Average",1609,1218,2123
"186","20001, Northwest Washington, Washington","84","7700 Oxman Road, Hyattsville","1/1/2018 - 1/31/2018, Every day, Daily Average",1716,1244,2365
"186","20001, Northwest Washington, Washington","85","100 Lakeside Drive, Greenbelt","1/1/2018 - 1/31/2018, Every day, Daily Average",1536,1163,2027
"186","20001, Northwest Washington, Washington","86","9100 Fairview Road, Silver Spring","1/1/2018 - 1/31/2018, Every day, Daily Average",2095,1675,2618
"186","20001, Northwest Washington, Washington","87","7600 Greenbrook Drive, Greenbelt","1/1/2018 - 1/31/2018, Every day, Daily Average",1454,1101,1919
"186","20001, Northwest Washington, Washington","88","5000 Newport Avenue, Bethesda","1/1/2018 - 1/31/2018, Every day, Daily Average",1549,1211,1981
"186","20001, Northwest Washington, Washington","89","10000 Oaklyn Drive, Potomac","1/1/2018 - 1/31/2018, Every day, Daily Average",1432,1130,1814
"186","20001, Northwest Washington, Washington","90","11400 Macarthur Boulevard Northwest, Potomac","1/1/2018 - 1/31/2018, Every day, Daily Average",1398,1070,1825
"186","20001, Northwest Washington, Washington","91","6400 Walhonding Road, Bethesda","1/1/2018 - 1/31/2018, Every day, Daily Average",1379,1094,1737
"186","20001, Northwest Washington, Washington","92","3100 North Nelson Street, Bellevue Forest, Arlington","1/1/2018 - 1/31/2018, Every day, Daily Average",859,632,1166
"186","20001, Northwest Washington, Washington","93","6400 Vale Street, Alexandria","1/1/2018 - 1/31/2018, Every day, Daily Average",1142,824,1581
"186","20001, Northwest Washington, Washington","94","6300 8th Circle, Alexandria","1/1/2018 - 1/31/2018, Every day, Daily Average",1006,734,1377
"186","20001, Northwest Washington, Washington","95","1800 South Stafford Street, Douglas Park, Arlington","1/1/2018 - 1/31/2018, Every day, Daily Average",1014,704,1459
"186","20001, Northwest Washington, Washington","96","7300 Beverly Street, Annandale","1/1/2018 - 1/31/2018, Every day, Daily Average",1567,1110,2211
"186","20001, Northwest Washington, Washington","97","5500 Jowett Court, Alexandria","1/1/2018 - 1/31/2018, Every day, Daily Average",1494,1173,1902
